Abdominals - Lower,Full Reverse Crunch,Advanced,c,h,f,m
Abdominals - Lower,Incline Hip Thrust,Advanced,c,h,f,m
Abdominals - Lower,Incline Reverse Crunch,Advanced,c,h,f,m
Abdominals - Lower,Lying Hip Thrust,Advanced,c,h,f,m
Abdominals - Lower,Reverse Crunch,Beginner,c,h,f,m
Abdominals - Lower,Reverse Medicine Ball Crunch,Advanced,c,h,f,m
Abdominals - Obliques,Alternating Heel Touch,Beginner,c,h,f,m
Abdominals - Obliques,Bent-Knee Medicine Ball Hip Rotation,Advanced,c,h,f,m
Abdominals - Obliques,Cable Chop,Advanced,c,h,c,m
Abdominals - Obliques,Cross Crunch,Beginner,c,h,f,m
Abdominals - Obliques,Cross Crunch w/ Medicine Ball,Advanced,c,h,f,m
Abdominals - Obliques,Decline Cross Sit-Up,Advanced,c,h,f,m
Abdominals - Obliques,Decline Sit-Up w/ Twist,Advanced,c,h,f,m
Abdominals - Obliques,Reverse Cable Chop,Advanced,c,h,c,m
Abdominals - Obliques,Seated Medicine Ball Twist,Advanced,c,h,f,m
Abdominals - Obliques,Trunk Rotator,Advanced,c,h,f,m
Abdominals - Total,Front Plank (from knees),Beginner,c,s,f,m
Abdominals - Total,Front Plank (from toes),Intermediate,c,s,f,m
Abdominals - Total,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm),Advanced,c,s,f,m
Abdominals - Total,Side-Plank (from knees),Intermediate,c,s,f,m
Abdominals - Total,Side-Plank (hip lift),Beginner,c,s,f,m
Abdominals - Total,Side-Plank (from toes),Advanced,c,s,f,m
Abdominals - Total,Ab Cycle,Advanced,c,h,f,m
Abdominals - Total,Kneeling Ab Rollout,Intermediate,c,h,f,m
Abdominals - Total,Medicine Ball V-Up,Advanced,c,h,f,m
Abdominals - Total,V-Up,Beginner,c,h,f,m
Abdominals - Total,Weighted V-Up,Intermediate,c,h,f,m
Abdominals - Upper,Bent Knee Sit-Up,Beginner,c,h,f,m
Abdominals - Upper,Bent-Knee Crunch,Beginner,c,h,f,m
Abdominals - Upper,Crunch,Beginner,c,h,f,m
Abdominals - Upper,Crunch,Beginner,c,h,f,m
Abdominals - Upper,Decline Crunch,Advanced,c,h,f,m
Abdominals - Upper,Decline Sit-Up,Advanced,c,h,f,m
Abdominals - Upper,Heel Touch,Beginner,c,h,f,m
Abdominals - Upper,Sit-Up,Beginner,c,h,f,m
Abdominals - Upper,Weighted Crunch,Intermediate,c,h,f,m
Back - Latissimus Dorsi,Assisted Pull-Up,Beginner,u,p,f,m
Back - Latissimus Dorsi,Close-Grip Lat Pulldown,Beginner,u,p,m,m
Back - Latissimus Dorsi,Inverted Pull-Up,Advanced,u,p,f,m
Back - Latissimus Dorsi,Lat Pulldown,Beginner,u,p,c,m
Back - Latissimus Dorsi,Pull-Up,Beginner,u,p,f,m
Back - Latissimus Dorsi,Reverse-Grip Lat Pullown,Intermediate,u,p,c,m
Back - Latissimus Dorsi,Reverse-Grip Pull-Up,Advanced,u,p,f,m
Back - Latissimus Dorsi,V-Bar Pull-Up,Advanced,u,p,f,m
Back - Latissimus Dorsi,Wide-Grip Lat Pulldown,Beginner,u,p,c,m
Back - Lat.Dorsi/Rhomboids,Bent-Over Alternating Dumbbell Row,Intermediate,u,p,f,m
Back - Lat.Dorsi/Rhomboids,Bent-Over Barbell Row,Beginner,u,p,f,m
Back - Lat.Dorsi/Rhomboids,Bent-Over Dumbbell Row,Beginner,u,p,f,m
Back - Lat.Dorsi/Rhomboids,Bent-Over Hammer Dumbbell Row,Beginner,u,p,f,m
Back - Lat.Dorsi/Rhomboids,Bent-Over Long Barbell Row,Intermediate,u,p,f,m
Back - Lat.Dorsi/Rhomboids,Bent-Over Reverse-Grip Barbell Row,Advanced,u,p,f,m
Back - Lat.Dorsi/Rhomboids,Bent-Over Single-Arm Long Barbell Row,Advanced,u,p,f,m
Back - Lat.Dorsi/Rhomboids,Machine Row,Beginner,u,p,m,m
