Abdominals - Lower,Full Reverse Crunch,Advanced,Core,Push,FW,M
Abdominals - Lower,Incline Hip Thrust,Advanced,Core,Push,FW,M
Abdominals - Lower,Incline Reverse Crunch,Advanced,Core,Push,FW,M
Abdominals - Lower,Lying Hip Thrust,Advanced,Core,Push,FW,M
Abdominals - Lower,Reverse Crunch,Beginner,Core,Push,FW,M
Abdominals - Lower,Reverse Medicine Ball Crunch,Advanced,Core,Push,FW,M
Abdominals - Obliques,Alternating Heel Touch,Beginner,Core,Push,FW,M
Abdominals - Obliques,Bent-Knee Medicine Ball Hip Rotation,Advanced,Core,Push,FW,M
Abdominals - Obliques,Cable Chop,Advanced,Core,Push,C,M
Abdominals - Obliques,Cross Crunch,Beginner,Core,Push,FW,M
Abdominals - Obliques,Cross Crunch w/ Medicine Ball,Advanced,Core,Push,FW,M
Abdominals - Obliques,Decline Cross Sit-Up,Advanced,Core,Push,FW,M
Abdominals - Obliques,Decline Sit-Up w/ Twist,Advanced,Core,Push,FW,M
Abdominals - Obliques,Reverse Cable Chop,Advanced,Core,Push,C,M
Abdominals - Obliques,Seated Medicine Ball Twist,Advanced,Core,Push,FW,M
Abdominals - Obliques,Trunk Rotator,Advanced,Core,Push,FW,M
Abdominals - Total,Front Plank (from knees),Beginner,Core,Static,FW,M
Abdominals - Total,Front Plank (from toes),Intermediate,Core,Static,FW,M
Abdominals - Total,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm),Advanced,Core,Static,FW,M
Abdominals - Total,Side-Plank (from knees),Intermediate,Core,Static,FW,M
Abdominals - Total,Side-Plank (hip lift),Beginner,Core,Static,FW,M
Abdominals - Total,Side-Plank (from toes),Advanced,Core,Static,FW,M
Abdominals - Total,Ab Cycle,Advanced,Core,Push,FW,M
Abdominals - Total,Kneeling Ab Rollout,Intermediate,Core,Push,FW,M
Abdominals - Total,Medicine Ball V-Up,Advanced,Core,Push,FW,M
Abdominals - Total,V-Up,Beginner,Core,Push,FW,M
Abdominals - Total,Weighted V-Up,Intermediate,Core,Push,FW,M
Abdominals - Upper,Bent Knee Sit-Up,Beginner,Core,Push,FW,M
Abdominals - Upper,Bent-Knee Crunch,Beginner,Core,Push,FW,M
Abdominals - Upper,Crunch,Beginner,Core,Push,FW,M
Abdominals - Upper,Crunch,Beginner,Core,Push,FW,M
Abdominals - Upper,Decline Crunch,Advanced,Core,Push,FW,M
Abdominals - Upper,Decline Sit-Up,Advanced,Core,Push,FW,M
Abdominals - Upper,Heel Touch,Beginner,Core,Push,FW,M
Abdominals - Upper,Sit-Up,Beginner,Core,Push,FW,M
Abdominals - Upper,Weighted Crunch,Intermediate,Core,Push,FW,M
Back - Latissimus Dorsi,Assisted Pull-Up,Beginner,Upper,Pull,FW,M
Back - Latissimus Dorsi,Close-Grip Lat Pulldown,Beginner,Upper,Pull,M,M
Back - Latissimus Dorsi,Inverted Pull-Up,Advanced,Upper,Pull,FW,M
Back - Latissimus Dorsi,Lat Pulldown,Beginner,Upper,Pull,C,M
Back - Latissimus Dorsi,Pull-Up,Beginner,Upper,Pull,FW,M
Back - Latissimus Dorsi,Reverse-Grip Lat Pullown,Intermediate,Upper,Pull,C,M
Back - Latissimus Dorsi,Reverse-Grip Pull-Up,Advanced,Upper,Pull,FW,M
Back - Latissimus Dorsi,V-Bar Pull-Up,Advanced,Upper,Pull,FW,M
Back - Latissimus Dorsi,Wide-Grip Lat Pulldown,Beginner,Upper,Pull,C,M
Back - Lat.Dorsi/Rhomboids,Bent-Over Alternating Dumbbell Row,Intermediate,Upper,Pull,FW,M
